호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-13 14,28.6,2024-02-29
2,강남,2024-01-13 15,28.1,2024-02-29
2,강남,2024-01-13 16,32,2024-02-29
2,강남,2024-01-13 17,38.5,2024-02-29
2,강남,2024-01-13 18,33.4,2024-02-29
2,강남,2024-01-13 19,27.2,2024-02-29
2,강남,2024-01-13 20,27,2024-02-29
2,강남,2024-01-13 21,21.8,2024-02-29
2,강남,2024-01-13 22,21.1,2024-02-29
2,강남,2024-01-13 23,21.3,2024-02-29
2,강남,2024-01-14 00,13.6,2024-02-29
2,강남,2024-01-14 01,29.9,2024-02-29
2,강남,2024-01-14 02,28.9,2024-02-29
2,강남,2024-01-14 03,18.4,2024-02-29
2,강남,2024-01-14 04,20.3,2024-02-29
2,강남,2024-01-14 05,19,2024-02-29
2,강남,2024-01-14 06,10.1,2024-02-29
2,강남,2024-01-14 07,11.4,2024-02-29
2,강남,2024-01-14 08,12.1,2024-02-29
2,강남,2024-01-14 09,0,2024-02-29
2,강남,2024-01-14 10,14,2024-02-29
2,강남,2024-01-14 11,19.5,2024-02-29
2,강남,2024-01-14 12,25.9,2024-02-29
2,강남,2024-01-14 13,32,2024-02-29
2,강남,2024-01-14 14,36.1,2024-02-29
2,강남,2024-01-14 15,26.3,2024-02-29
2,강남,2024-01-14 16,39.2,2024-02-29
2,강남,2024-01-14 17,45,2024-02-29
2,강남,2024-01-14 18,30.1,2024-02-29
2,강남,2024-01-14 19,28,2024-02-29
2,강남,2024-01-14 20,28.7,2024-02-29
2,강남,2024-01-14 21,28.1,2024-02-29
2,강남,2024-01-14 22,33.3,2024-02-29
2,강남,2024-01-14 23,23.9,2024-02-29
2,강남,2024-01-15 00,13.8,2024-02-29
2,강남,2024-01-15 01,19.1,2024-02-29
2,강남,2024-01-15 02,22.8,2024-02-29
2,강남,2024-01-15 03,11.5,2024-02-29
2,강남,2024-01-15 04,12.4,2024-02-29
2,강남,2024-01-15 05,5.8,2024-02-29
2,강남,2024-01-15 06,6.9,2024-02-29
2,강남,2024-01-15 07,10.9,2024-02-29
2,강남,2024-01-15 08,37.2,2024-02-29
2,강남,2024-01-15 09,56.9,2024-02-29
2,강남,2024-01-15 10,48.1,2024-02-29
2,강남,2024-01-15 11,26.1,2024-02-29
2,강남,2024-01-15 12,18.7,2024-02-29
2,강남,2024-01-15 13,19.4,2024-02-29
2,강남,2024-01-15 14,23.3,2024-02-29
2,강남,2024-01-15 15,24.4,2024-02-29
2,강남,2024-01-15 16,15.8,2024-02-29
2,강남,2024-01-15 17,25.2,2024-02-29
2,강남,2024-01-15 18,37,2024-02-29
2,강남,2024-01-15 19,34.1,2024-02-29
2,강남,2024-01-15 20,29,2024-02-29
2,강남,2024-01-15 21,16.4,2024-02-29
2,강남,2024-01-15 22,15.9,2024-02-29
2,강남,2024-01-15 23,11,2024-02-29
2,강남,2024-01-16 00,19.6,2024-02-29
2,강남,2024-01-16 01,32.3,2024-02-29
2,강남,2024-01-16 02,22.8,2024-02-29
2,강남,2024-01-16 03,17.2,2024-02-29
2,강남,2024-01-16 04,13.4,2024-02-29
2,강남,2024-01-16 05,6.1,2024-02-29
2,강남,2024-01-16 06,9.3,2024-02-29
2,강남,2024-01-16 07,18.1,2024-02-29
2,강남,2024-01-16 08,37.5,2024-02-29
2,강남,2024-01-16 09,45,2024-02-29
2,강남,2024-01-16 10,45.9,2024-02-29
2,강남,2024-01-16 11,26.6,2024-02-29
2,강남,2024-01-16 12,24.7,2024-02-29
2,강남,2024-01-16 13,33.8,2024-02-29
2,강남,2024-01-16 14,29.8,2024-02-29
2,강남,2024-01-16 15,41.9,2024-02-29
2,강남,2024-01-16 16,38.4,2024-02-29
2,강남,2024-01-16 17,36.6,2024-02-29
2,강남,2024-01-16 18,38.2,2024-02-29
2,강남,2024-01-16 19,44.2,2024-02-29
2,강남,2024-01-16 20,44.1,2024-02-29
2,강남,2024-01-16 21,41.5,2024-02-29
2,강남,2024-01-16 22,32.6,2024-02-29
2,강남,2024-01-16 23,28,2024-02-29
2,강남,2024-01-17 00,33.4,2024-02-29
2,강남,2024-01-17 01,46.5,2024-02-29
2,강남,2024-01-17 02,1.6,2024-02-29
2,강남,2024-01-17 03,3.8,2024-02-29
2,강남,2024-01-17 04,11.5,2024-02-29
2,강남,2024-01-17 05,16.1,2024-02-29
2,강남,2024-01-17 06,9.6,2024-02-29
2,강남,2024-01-17 07,18.2,2024-02-29
2,강남,2024-01-17 08,44.8,2024-02-29
2,강남,2024-01-17 09,63.8,2024-02-29
2,강남,2024-01-17 10,57.1,2024-02-29
2,강남,2024-01-17 11,42.5,2024-02-29
2,강남,2024-01-17 12,37.9,2024-02-29
2,강남,2024-01-17 13,42.2,2024-02-29
2,강남,2024-01-17 14,44.3,2024-02-29
2,강남,2024-01-17 15,49.5,2024-02-29
2,강남,2024-01-17 16,25.4,2024-02-29
2,강남,2024-01-17 17,31,2024-02-29
2,강남,2024-01-17 18,43.8,2024-02-29
2,강남,2024-01-17 19,47.4,2024-02-29
2,강남,2024-01-17 20,43.5,2024-02-29
2,강남,2024-01-17 21,37.1,2024-02-29
2,강남,2024-01-17 22,41.6,2024-02-29
2,강남,2024-01-17 23,93.9,2024-02-29
2,강남,2024-01-18 00,68.8,2024-02-29
2,강남,2024-01-18 01,99.3,2024-02-29
2,강남,2024-01-18 02,49.5,2024-02-29
2,강남,2024-01-18 03,25.2,2024-02-29
2,강남,2024-01-18 04,22.8,2024-02-29
2,강남,2024-01-18 05,28.7,2024-02-29
2,강남,2024-01-18 06,24.6,2024-02-29
2,강남,2024-01-18 07,22.6,2024-02-29
2,강남,2024-01-18 08,11.9,2024-02-29
2,강남,2024-01-18 09,6.6,2024-02-29
2,강남,2024-01-18 10,39.5,2024-02-29
2,강남,2024-01-18 11,34.6,2024-02-29
2,강남,2024-01-18 12,33.2,2024-02-29
2,강남,2024-01-18 13,31.8,2024-02-29
2,강남,2024-01-18 14,27.7,2024-02-29
2,강남,2024-01-18 15,25.4,2024-02-29
2,강남,2024-01-18 16,112.3,2024-02-29
2,강남,2024-01-18 17,99.1,2024-02-29
2,강남,2024-01-18 18,49.5,2024-02-29
2,강남,2024-01-18 19,39.1,2024-02-29
2,강남,2024-01-18 20,29.5,2024-02-29
2,강남,2024-01-18 21,17.8,2024-02-29
2,강남,2024-01-18 22,20.4,2024-02-29
2,강남,2024-01-18 23,18,2024-02-29
2,강남,2024-01-19 00,10.7,2024-02-29
2,강남,2024-01-19 01,25,2024-02-29
2,강남,2024-01-19 02,18.1,2024-02-29
2,강남,2024-01-19 03,13.2,2024-02-29
2,강남,2024-01-19 04,13.7,2024-02-29
2,강남,2024-01-19 05,10.3,2024-02-29
2,강남,2024-01-19 06,8.4,2024-02-29
2,강남,2024-01-19 07,13.2,2024-02-29
2,강남,2024-01-19 08,21.5,2024-02-29
2,강남,2024-01-19 09,44.9,2024-02-29
2,강남,2024-01-19 10,32.3,2024-02-29
2,강남,2024-01-19 11,16.5,2024-02-29
2,강남,2024-01-19 12,23.2,2024-02-29
2,강남,2024-01-19 13,16.7,2024-02-29
2,강남,2024-01-19 14,15.2,2024-02-29
2,강남,2024-01-19 15,19.7,2024-02-29
2,강남,2024-01-19 16,29.5,2024-02-29
2,강남,2024-01-19 17,26.5,2024-02-29
2,강남,2024-01-19 18,24.7,2024-02-29
2,강남,2024-01-19 19,41.8,2024-02-29
2,강남,2024-01-19 20,30.4,2024-02-29
2,강남,2024-01-19 21,20.6,2024-02-29
2,강남,2024-01-19 22,11.5,2024-02-29
2,강남,2024-01-19 23,11.8,2024-02-29
2,강남,2024-01-20 00,13.9,2024-02-29
2,강남,2024-01-20 01,12,2024-02-29
2,강남,2024-01-20 02,3,2024-02-29
2,강남,2024-01-20 03,0.6,2024-02-29
2,강남,2024-01-20 04,1.5,2024-02-29
2,강남,2024-01-20 05,0.1,2024-02-29
2,강남,2024-01-20 06,3.4,2024-02-29
2,강남,2024-01-20 07,0.9,2024-02-29
2,강남,2024-01-20 08,17.7,2024-02-29
2,강남,2024-01-20 09,30.1,2024-02-29
2,강남,2024-01-20 10,20.8,2024-02-29
2,강남,2024-01-20 11,20.3,2024-02-29
2,강남,2024-01-20 12,22.9,2024-02-29
2,강남,2024-01-20 13,22.4,2024-02-29
2,강남,2024-01-20 14,22.8,2024-02-29
2,강남,2024-01-20 15,21.1,2024-02-29
2,강남,2024-01-20 16,16.7,2024-02-29
2,강남,2024-01-20 17,15.8,2024-02-29
2,강남,2024-01-20 18,24.5,2024-02-29
2,강남,2024-01-20 19,15.2,2024-02-29
2,강남,2024-01-20 20,13.5,2024-02-29
2,강남,2024-01-20 21,7.8,2024-02-29
2,강남,2024-01-20 22,11.3,2024-02-29
2,강남,2024-01-20 23,4.2,2024-02-29
2,강남,2024-01-21 00,4.1,2024-02-29
2,강남,2024-01-21 01,0.8,2024-02-29
2,강남,2024-01-21 02,2.7,2024-02-29
2,강남,2024-01-21 03,0.6,2024-02-29
2,강남,2024-01-21 04,3.6,2024-02-29
2,강남,2024-01-21 05,2.6,2024-02-29
2,강남,2024-01-21 06,2.7,2024-02-29
2,강남,2024-01-21 07,5.1,2024-02-29
