storeNumber,countryCode,ownershipTypeCode,latitude,longitude
20423-205465,AE,LS,24.446145,54.438583
16453-170544,AE,LS,24.431739,54.435553
54079-286318,AE,LS,24.420273,54.436915
24191-236428,AE,LS,24.42083,54.440671
20008-200004,AE,LS,24.435274,54.455525
22126-218024,AE,LS,24.42936,54.46311
21605-213406,AE,LS,24.554563,54.452659
58351-291395,AE,LS,24.413686,54.463396
18182-182165,AE,LS,24.403721,54.485397
32767-131566,AE,LS,24.408591,54.491289
24931-239348,AE,LS,24.432581,54.566565
51596-278783,AE,LS,24.396449,54.555667
17688-182164,AE,LS,24.334429,54.524197
53349-284986,AE,LS,24.543998,54.574401
3886-141408,AE,LS,24.365661,54.564211
17361-180588,AE,LS,24.393428,54.582349
3178-141407,AE,LS,24.350423,54.569979
22963-226644,AE,LS,24.488838,54.607892
24085-235545,AE,LS,24.485658,54.607765
24604-238367,AE,LS,24.489308,54.608989
34252-54259,AE,LS,25.345018,55.39871
56193-290092,AE,LS,25.330312,55.430095
17964-183966,AE,LS,25.383157,55.404507
47089-256771,AE,LS,25.389664,55.458399
34217-27108,AE,LS,25.309971,55.489652
25879-242844,AE,LS,25.236671,55.42206
3173-122109,AE,LS,25.233864,55.43588
52293-281355,AE,LS,25.441201,55.421213
31338-103600,AE,LS,25.224555,55.424622
49508-259731,AE,LS,25.295949,55.499244
63633-298285,AE,LS,25.233631,55.47168
22331-212325,AE,LS,25.413532,55.498456
62129-296298,AE,LS,25.247454,55.589786
6106-148051,AE,LS,25.124772,55.41056
16528-168726,AE,LS,25.12683,55.3971
47926-259730,AE,LS,25.134306,55.37829
54636-288363,AE,LS,25.111384,55.392543
56371-289639,AE,LS,25.111459,55.374001
62998-296812,AE,LS,24.324871,54.613381
1911-138604,AE,LS,25.681656,55.780582
61377-295467,AE,LS,25.700741,55.93352
3172-113584,AE,LS,25.748301,55.925063
49510-268965,AE,LS,25.770997,55.938703
48961-265989,AE,LS,25.785186,55.965559
34228-219605,AE,LS,25.78521,55.965807
54631-288360,AE,LS,25.784325,55.987856
22697-223524,AE,LS,25.541452,55.541801
55896-289050,AE,LS,25.521223,55.543619
25876-242845,OM,LS,25.994194,56.248183
23195-228404,OM,LS,25.994264,56.248228
24187-234510,OM,LS,25.994264,56.248318
23216-228405,OM,LS,25.985017,56.282847
1926-141411,AE,LS,24.160592,55.807567
17788-183965,AE,LS,24.207041,55.759096
16257-166109,AE,LS,24.222205,55.781988
54627-288356,AE,LS,24.183138,55.733621
17291-169884,AE,LS,24.219302,55.753731
54629-288355,AE,LS,24.172921,55.719899
50451-274789,AE,LS,24.231222,55.733019
34332-97778,AE,LS,24.243583,55.726779
30781-99022,AE,LS,24.188009,55.68792
24510-238164,AE,LS,24.274663,55.779172
49299-267848,AE,LS,24.243636,55.71701
49784-267456,AE,LS,24.24469,55.717253
63179-296362,AE,LS,24.267005,55.734189
29306-253248,AE,LS,24.213316,55.666778
32640-131563,AE,LS,24.195469,55.647858
29651-254742,AE,LS,24.2187,55.641442
15938-165686,AE,LS,24.48311,55.77399
29562-254257,AE,LS,24.104702,55.440751
53572-285786,AE,LS,24.585631,55.053611
53442-285606,AE,LS,24.585669,55.053585
27950-248318,AE,LS,25.027596,55.267153
61827-296160,AE,LS,25.355882,56.351082
54628-288358,AE,LS,25.151276,56.344841
17045-172945,AE,LS,25.125593,56.30138
56370-289640,AE,LS,25.133235,56.346149
32073-107463,AE,LS,25.074454,55.402717
56754-289929,AE,LS,25.009655,55.29137
51595-278784,AE,LS,24.303396,54.622076
49327-268228,AE,LS,24.457592,54.673552
23549-231166,AE,LS,24.386922,54.723377
20772-207664,AE,LS,24.454883,54.723729
20113-195784,AE,LS,24.523448,54.670817
4034-136938,AR,LS,-34.547348,-58.485948
3525-142748,AR,LS,-34.547348,-58.485858
13054-156007,AR,LS,-34.550916,-58.466774
21884-185944,AR,LS,-34.535834,-58.466928
15478-161685,AR,LS,-34.525983,-58.474728
47283-246923,AR,LS,-34.557695,-58.460546
15654-164107,AR,LS,-34.562778,-58.456276
15458-161684,AR,LS,-34.576668,-58.482647
20331-204904,AR,LS,-34.554794,-58.449336
1284-140707,AR,LS,-34.572935,-58.459374
29536-246926,AR,LS,-34.55983,-58.445274
49461-269445,AR,LS,-34.509093,-58.491947
1270-136935,AR,LS,-34.568813,-58.443745
16690-174425,AR,LS,-34.570443,-58.443969
7123-150606,AR,LS,-34.567794,-58.4368
54216-286480,AR,LS,-34.508636,-58.523224
47294-254164,AR,LS,-34.578014,-58.438144
1271-136936,AR,LS,-34.506768,-58.523491
